RUN	RCLoadTest.Simulations.GetRestCountriesSimulations	getrestcountriessimulations	1598642048424	 	3.3.1
USER	Create User Scenario	4	START	1598642052331	1598642052331
USER	Create User Scenario	3	START	1598642052331	1598642052331
USER	Create User Scenario	1	START	1598642052330	1598642052330
USER	Create User Scenario	5	START	1598642052331	1598642052331
USER	Create User Scenario	2	START	1598642052331	1598642052331
REQUEST	5		Create Get Request to get list of countries	1598642052512	1598642056155	OK	 
USER	Create User Scenario	5	END	1598642052331	1598642056255
REQUEST	1		Create Get Request to get list of countries	1598642052519	1598642056447	OK	 
USER	Create User Scenario	1	END	1598642052330	1598642056454
REQUEST	2		Create Get Request to get list of countries	1598642052511	1598642056468	OK	 
USER	Create User Scenario	2	END	1598642052331	1598642056471
REQUEST	3		Create Get Request to get list of countries	1598642052511	1598642056737	OK	 
USER	Create User Scenario	3	END	1598642052331	1598642056740
REQUEST	4		Create Get Request to get list of countries	1598642052513	1598642056752	OK	 
USER	Create User Scenario	4	END	1598642052331	1598642056755
